Gas,Source,Time Horizon (years),Value,,,,,,,,,,,,
NF3,Forster/Ramaswamy 2107,100,17200,,,,,,,,,,,,
NF3,Forster/Ramaswamy 2108,500,10700,,,,,,,,,,,,
PFC-14,Forster/Ramaswamy 2109,20,5210,,,,,,,,,,,,
PFC-14,Forster/Ramaswamy 2110,100,7390,,,,,,,,,,,,
PFC-14,Forster/Ramaswamy 2111,500,11200,,,,,,,,,,,,
PFC-116,Forster/Ramaswamy 2112,20,8630,,,,,,,,,,,,
PFC-116,Forster/Ramaswamy 2113,100,12200,,,,,,,,,,,,
PFC-116,Forster/Ramaswamy 2114,500,18200,,,,,,,,,,,,
PFC-218,Forster/Ramaswamy 2115,20,6310,,,,,,,,,,,,
PFC-218,Forster/Ramaswamy 2116,100,8830,,,,,,,,,,,,
PFC-218,Forster/Ramaswamy 2117,500,12500,,,,,,,,,,,,
PFC-318,Forster/Ramaswamy 2118,20,7310,,,,,,,,,,,,
PFC-318,Forster/Ramaswamy 2119,100,10300,,,,,,,,,,,,
PFC-318,Forster/Ramaswamy 2120,500,14700,,,,,,,,,,,,
PFC-31-10,Forster/Ramaswamy 2121,20,6330,,,,,,,,,,,,
PFC-31-10,Forster/Ramaswamy 2122,100,8860,,,,,,,,,,,,
PFC-31-10,Forster/Ramaswamy 2123,500,12500,,,,,,,,,,,,
PFC-41-12,Forster/Ramaswamy 2124,20,6510,,,,,,,,,,,,
PFC-41-12,Forster/Ramaswamy 2125,100,9160,,,,,,,,,,,,
PFC-41-12,Forster/Ramaswamy 2126,500,13300,,,,,,,,,,,,
PFC-51-14,Forster/Ramaswamy 2127,20,6600,,,,,,,,,,,,
PFC-51-14,Forster/Ramaswamy 2128,100,9300,,,,,,,,,,,,
PFC-51-14,Forster/Ramaswamy 2129,500,13300,,,,,,,,,,,,
PFC-91-18,Forster/Ramaswamy 2130,20,5500,,,,,,,,,,,,
PFC-91-18,Forster/Ramaswamy 2131,100,7500,,,,,,,,,,,,
