Region,Sector,Product_category,Product_long,Product,Flow_category,Flow_long,Flow,End_use
albania,Industrial,Electricity and Heat,Electricity,ELECTR,Final consumption,Agriculture/forestry,AGRICULT,
albania,Industrial,Electricity and Heat,Electricity,ELECTR,Final consumption,Chemical and petrochemical,CHEMICAL,
albania,Industrial,Electricity and Heat,Electricity,ELECTR,Final consumption,Construction,CONSTRUC,
albania,Industrial,Electricity and Heat,Electricity,ELECTR,Energy industry own use and Losses,Non-specified (energy),ENONSPEC,
albania,Industrial,Electricity and Heat,Electricity,ELECTR,Energy industry own use and Losses,Oil and gas extraction,EOILGASEX,
albania,Industrial,Electricity and Heat,Electricity,ELECTR,Energy industry own use and Losses,Oil refineries,EREFINER,
albania,Industrial,Electricity and Heat,Electricity,ELECTR,Final consumption,Fishing,FISHING,
albania,Industrial,Electricity and Heat,Electricity,ELECTR,Final consumption,Food and tobacco,FOODPRO,
albania,Industrial,Electricity and Heat,Electricity,ELECTR,Final consumption,Industry not elsewhere specified,INONSPEC,
albania,Industrial,Electricity and Heat,Electricity,ELECTR,Final consumption,Iron and steel,IRONSTL,
albania,Industrial,Electricity and Heat,Electricity,ELECTR,Transformation processes,Main activity producer CHP plants,MAINCHP,High Temperature Heat
albania,Industrial,Electricity and Heat,Electricity,ELECTR,Final consumption,Manufacturing,MANUFACT,
albania,Industrial,Electricity and Heat,Electricity,ELECTR,Final consumption,Mining and quarrying,MINING,
albania,Industrial,Electricity and Heat,Electricity,ELECTR,Final consumption,Non-ferrous metals,NONFERR,
albania,Industrial,Electricity and Heat,Electricity,ELECTR,Final consumption,Non-metallic minerals,NONMET,
albania,Industrial,Electricity and Heat,Electricity,ELECTR,Oil products,Other oil products,ONONSPEC,
albania,Industrial,Electricity and Heat,Electricity,ELECTR,Final consumption,"Paper, pulp, and print",PAPERPRO,
albania,Industrial,Electricity and Heat,Electricity,ELECTR,Final consumption,Textile and leather,TEXTILES,
albania,Industrial,Electricity and Heat,Electricity,ELECTR,Energy industry own use and Losses,Energy industry own use,TOTENGY,
albania,Industrial,Electricity and Heat,Electricity,ELECTR,Final consumption,Wood and wood products,WOODPRO,
albania,Industrial,Electricity and Heat,Electricity,ELECTR,Energy industry own use and Losses,Coke ovens,ECOKEOVS,
albania,Industrial,Electricity and Heat,Heat,HEAT,Energy industry own use and Losses,Oil refineries,EREFINER,
albania,Industrial,Electricity and Heat,Heat,HEAT,Transformation processes,Main activity producer CHP plants,MAINCHP,High Temperature Heat
albania,Industrial,Electricity and Heat,Heat,HEAT,Energy industry own use and Losses,Energy industry own use,TOTENGY,
albania,Industrial,Electricity and Heat,Heat,HEAT,Energy industry own use and Losses,"Own use in electricity, CHP and heat plants",EPOWERPLT,
albania,Industrial,Oil products,Gas/diesel oil excl. biofuels,NONBIODIES,Final consumption,Agriculture/forestry,AGRICULT,
albania,Industrial,Oil products,Gas/diesel oil excl. biofuels,NONBIODIES,Final consumption,Chemical and petrochemical,CHEMICAL,
albania,Industrial,Oil products,Gas/diesel oil excl. biofuels,NONBIODIES,Final consumption,Construction,CONSTRUC,
albania,Industrial,Oil products,Gas/diesel oil excl. biofuels,NONBIODIES,Energy industry own use and Losses,Oil refineries,EREFINER,
