Product,Flow,Sector,EIA Product,WWS EF Product,WWS Upstream Product,WWS Addtl Efficiency
BIOGASOL,DISTLOSS,Transportation,Liquid fuels,biofuels_waste ef ratio,N,biofuels_waste addtl eff
BIOGASOL,DOMESNAV,Transportation,Liquid fuels,biofuels_waste ef ratio,N,biofuels_waste addtl eff
BIOGASOL,ELAUTOE,Electric Power,Liquid fuels,biofuels_waste ef ratio,N,biofuels_waste addtl eff
BIOGASOL,ELMAINE,Electric Power,Liquid fuels,biofuels_waste ef ratio,N,biofuels_waste addtl eff
BIOGASOL,ELOUTPUT,Electric Power,Liquid fuels,biofuels_waste ef ratio,N,biofuels_waste addtl eff
BIOGASOL,EXPORTS,Total energy consumption,Total,na,N,na
BIOGASOL,FISHING,Industrial,Liquid fuels,biofuels_waste ef ratio,N,biofuels_waste addtl eff
BIOGASOL,FOODPRO,Industrial,Liquid fuels,biofuels_waste ef ratio,N,biofuels_waste addtl eff
BIOGASOL,IMPORTS,Total energy consumption,Total,na,N,na
BIOGASOL,INDPROD,Total energy consumption,Total,na,N,na
BIOGASOL,INONSPEC,Industrial,Liquid fuels,biofuels_waste ef ratio,N,biofuels_waste addtl eff
BIOGASOL,IRONSTL,Industrial,Liquid fuels,biofuels_waste ef ratio,N,biofuels_waste addtl eff
BIOGASOL,MACHINE,Industrial,Liquid fuels,biofuels_waste ef ratio,N,biofuels_waste addtl eff
BIOGASOL,MAINELEC,Electric Power,Liquid fuels,biofuels_waste ef ratio,N,biofuels_waste addtl eff
BIOGASOL,MANUFACT,Industrial,Liquid fuels,biofuels_waste ef ratio,N,biofuels_waste addtl eff
BIOGASOL,MINING,Industrial,Liquid fuels,biofuels_waste ef ratio,N,biofuels_waste addtl eff
BIOGASOL,NONFERR,Industrial,Liquid fuels,biofuels_waste ef ratio,N,biofuels_waste addtl eff
BIOGASOL,NONMET,Industrial,Liquid fuels,biofuels_waste ef ratio,N,biofuels_waste addtl eff
BIOGASOL,ONONSPEC,Industrial,Liquid fuels,biofuels_waste ef ratio,N,biofuels_waste addtl eff
BIOGASOL,PAPERPRO,Industrial,Liquid fuels,biofuels_waste ef ratio,N,biofuels_waste addtl eff
BIOGASOL,RESIDENT,Residential,Liquid fuels,biofuels_waste ef ratio,N,biofuels_waste addtl eff
BIOGASOL,ROAD,Transportation,Liquid fuels,biofuels_waste ef ratio,N,biofuels_waste addtl eff
BIOGASOL,STATDIFF,Total energy consumption,Total,na,N,na
BIOGASOL,STOCKCHA,Total energy consumption,Total,na,N,na
BIOGASOL,TES,Total energy consumption,Total,na,N,na
BIOGASOL,TEXTILES,Industrial,Liquid fuels,biofuels_waste ef ratio,N,biofuels_waste addtl eff
BIOGASOL,TFC,Total energy consumption,Liquid fuels,biofuels_waste ef ratio,N,biofuels_waste addtl eff
BIOGASOL,TOTIND,Industrial,Liquid fuels,biofuels_waste ef ratio,N,biofuels_waste addtl eff
BIOGASOL,TOTTRANF,Total energy consumption,Total,na,N,na
BIOGASOL,TOTTRANS,Transportation,Liquid fuels,oil ef ratio,N,oil addtl eff
BIOGASOL,TRANSEQ,Industrial,Liquid fuels,biofuels_waste ef ratio,N,biofuels_waste addtl eff
BIOGASOL,TRNONSPE,Transportation,Liquid fuels,biofuels_waste ef ratio,N,biofuels_waste addtl eff
BIOGASOL,WOODPRO,Industrial,Liquid fuels,biofuels_waste ef ratio,N,biofuels_waste addtl eff
BIOJETKERO,EXPORTS,Total energy consumption,Total,na,N,na
BIOJETKERO,INDPROD,Total energy consumption,Total,na,N,na
BITCOAL,AGRICULT,Industrial,Coal,coal ef ratio,N,coal addtl eff
BITCOAL,AUTOCHP,Industrial,Coal,coal ef ratio,N,coal addtl eff
BITCOAL,AUTOELEC,Electric Power,Coal,coal ef ratio,N,coal addtl eff
