Model,Scenario,Region,iso,Country,Subvector,Unit,Initial Extent (Mha),Initial Loss Rate (%),Rate of Improvement,Mitigation (Mg CO2/ha),Duration
PD22,Pathway,SSA-L,GNB,Guinea-Bissau,Avoided Coastal Impacts,Mha,0.2568,-0.3196,0.00196,1167.0536,312.8528433
PD22,Pathway,LAM-M,GUY,Guyana,Avoided Coastal Impacts,Mha,0.0295,-1.1301,0.00196,1594.5338,88.48510876
PD22,Pathway,LAM-L,HTI,Haiti,Avoided Coastal Impacts,Mha,0.0165,-1.1243,0.00196,1771.8003,88.94178767
PD22,Pathway,LAM-L,HND,Honduras,Avoided Coastal Impacts,Mha,0.0663,-2.3287,0.00196,1585.2876,42.94206236
PD22,Pathway,EU12-H,HUN,Hungary,Avoided Coastal Impacts,Mha,0.0000,NA,0.00196,NA,#VALUE!
PD22,Pathway,EFTA,ISL,Iceland,Avoided Coastal Impacts,Mha,0.0000,NA,0.00196,NA,#VALUE!
PD22,Pathway,IND,IND,India,Avoided Coastal Impacts,Mha,0.3629,-0.7821,0.00196,902.7900,127.8687328
PD22,Pathway,IDN,IDN,Indonesia,Avoided Coastal Impacts,Mha,2.8240,-0.8785,0.00196,2240.6568,113.8296131
PD22,Pathway,MEA-M,IRN,Iran,Avoided Coastal Impacts,Mha,0.0079,-0.4217,0.00196,1413.1967,237.1337432
PD22,Pathway,MEA-M,IRQ,Iraq,Avoided Coastal Impacts,Mha,0.0000,NA,0.00196,NA,#VALUE!
PD22,Pathway,EU15,IRL,Ireland,Avoided Coastal Impacts,Mha,0.0000,NA,0.00196,NA,#VALUE!
PD22,Pathway,MEA-H,ISR,Israel,Avoided Coastal Impacts,Mha,0.0000,NA,0.00196,NA,#VALUE!
PD22,Pathway,PAK,AFG,Afghanistan,Avoided Forest Conversion,Mha,0.4113,NA,0.0002,NA,#VALUE!
PD22,Pathway,EU15,ITA,Italy,Avoided Coastal Impacts,Mha,0.0000,NA,0.00196,NA,#VALUE!
