Country,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
KAZ,22817441.597039,,,,,,,,,,,,,,,,,,30661679.7461394,,,,,31666036.2278556,,,,,32266411.7644203,,,,,,,,,,32264203.296156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32264203.296156
KEN,23941227.770681,,,,,,,,,,,,,,,,,,36540793.7173286,,,,,40014553.5217082,,,,,42916535.8126608,,,,,,,,,,46054039.8591249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46054039.8591249
KGZ,4110846.79498837,,,,,,,,,,,,,,,,,,4720842.52682443,,,,,4821477.79551846,,,,,4910396.54434654,,,,,,,,,,5039609.75908057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5039609.75908057
KHM,18301234.8590166,,,,,,,,,,,,,,,,,,19146094.9580305,,,,,19198279.3649083,,,,,19226356.347249,,,,,,,,,,19242420.2745229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19242420.2745229
KOR,18188750.8457125,,,,,,,,,,,,,,,,,,16353205.470934,,,,,15576128.2574869,,,,,14788871.4677151,,,,,,,,,,13222951.7371654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13222951.7371654
LAO,7245061.90099263,,,,,,,,,,,,,,,,,,7702939.16519577,,,,,7782979.47113945,,,,,7858727.15847532,,,,,,,,,,7993263.70324369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7993263.70324369
LBN,899264.182211774,,,,,,,,,,,,,,,,,,1001393.12102676,,,,,1009310.57980658,,,,,1015994.48121156,,,,,,,,,,1026541.17915387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1026541.17915387
LBR,361009.271918262,,,,,,,,,,,,,,,,,,611308.892626138,,,,,676052.172844839,,,,,740414.21707353,,,,,,,,,,855423.357065509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,855423.357065509
LKA,6465963.70441274,,,,,,,,,,,,,,,,,,7512241.00241381,,,,,7708150.22503512,,,,,7874480.65833728,,,,,,,,,,8099184.89302271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8099184.89302271
LSO,899331.084078665,,,,,,,,,,,,,,,,,,1470992.2118763,,,,,1598823.80187794,,,,,1723625.17451586,,,,,,,,,,1950795.96784684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950795.96784684
LTU,2315800.12668721,,,,,,,,,,,,,,,,,,2406526.87786553,,,,,2405176.82081771,,,,,2406953.86292011,,,,,,,,,,2418307.87147577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2418307.87147577
LVA,1196990.99429624,,,,,,,,,,,,,,,,,,1167557.78670847,,,,,1145048.89228291,,,,,1123494.20007883,,,,,,,,,,1084521.35984596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1084521.35984596
MAR,13492734.5046067,,,,,,,,,,,,,,,,,,18513926.9349993,,,,,19909813.41142,,,,,21344692.2630502,,,,,,,,,,23870164.3964785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23870164.3964785
MDA,1299013.28110589,,,,,,,,,,,,,,,,,,1549110.39932215,,,,,1570034.96986935,,,,,1585516.73706584,,,,,,,,,,1602004.47714515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1602004.47714515
MDG,16088881.5261489,,,,,,,,,,,,,,,,,,28290166.9699907,,,,,31318208.8041215,,,,,34079129.4317988,,,,,,,,,,37894189.7895512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37894189.7895512
MEX,63196387.6595288,,,,,,,,,,,,,,,,,,79633354.9738977,,,,,82822184.0930462,,,,,85599053.7548074,,,,,,,,,,89882034.6000902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89882034.6000902
MLI,14276621.0103156,,,,,,,,,,,,,,,,,,27441809.7012478,,,,,30814298.2226531,,,,,33937610.8913578,,,,,,,,,,38654427.9480935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38654427.9480935
MMR,60219987.7536201,,,,,,,,,,,,,,,,,,68132610.1292053,,,,,70235589.8967749,,,,,72059939.2356344,,,,,,,,,,74955364.511189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74955364.511189
MNG,6983991.65401097,,,,,,,,,,,,,,,,,,7909579.02221572,,,,,8054218.72529922,,,,,8183050.02613537,,,,,,,,,,8401729.52394609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8401729.52394609
MOZ,3654350.00116969,,,,,,,,,,,,,,,,,,6400911.83104706,,,,,7130250.25951577,,,,,7872023.72475289,,,,,,,,,,9281578.84818152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9281578.84818152
MRT,3484372.02506364,,,,,,,,,,,,,,,,,,5744032.77128878,,,,,6273327.43064944,,,,,6782058.28188839,,,,,,,,,,7695222.40556546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7695222.40556546
MUS,95064.372893007,,,,,,,,,,,,,,,,,,159004.814115112,,,,,171396.95093178,,,,,181794.389935573,,,,,,,,,,192938.695613043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192938.695613043
MWI,3383454.09834424,,,,,,,,,,,,,,,,,,5894184.7464179,,,,,6568048.0905714,,,,,7253497.91839556,,,,,,,,,,8530971.00632289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8530971.00632289
MYS,10199212.2927979,,,,,,,,,,,,,,,,,,11649173.9382691,,,,,11772881.0598195,,,,,11860998.9500647,,,,,,,,,,11972026.6441295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11972026.6441295
NAM,3184869.18947474,,,,,,,,,,,,,,,,,,5258861.80490317,,,,,5709359.05752256,,,,,6122748.84815602,,,,,,,,,,6784877.15025052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6784877.15025052
NER,15127940.6765186,,,,,,,,,,,,,,,,,,16930640.2886362,,,,,17176224.5852965,,,,,17269922.9589543,,,,,,,,,,17413289.8320847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17413289.8320847
NGA,49206397.8381061,,,,,,,,,,,,,,,,,,78791192.9629336,,,,,87735460.683131,,,,,95810730.5676552,,,,,,,,,,106769316.244577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106769316.244577
NIC,7173870.32673223,,,,,,,,,,,,,,,,,,9727670.12079913,,,,,10451997.9823978,,,,,11211933.1716834,,,,,,,,,,12784043.7469386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12784043.7469386
NLD,15620773.3657334,,,,,,,,,,,,,,,,,,12898016.8005332,,,,,12067564.1974227,,,,,11260767.3374066,,,,,,,,,,9695440.97692607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9695440.97692607
NOR,2142644.68793333,,,,,,,,,,,,,,,,,,2058156.04757019,,,,,2021184.25061377,,,,,1988838.17423895,,,,,,,,,,1938615.72121775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1938615.72121775
