Product,Flow,Sector,Subsector,EIA Product,WWS EF Product,WWS Upstream Product,WWS Addtl Efficiency,Low Temp Heat,Hight Temp Heat,Electricity,Hydrogen,Flexible,Non-Energy Use
PRIMSBIO,AUTOHEAT,Industrial,,Renewables,biofuels_waste ef ratio,N,biofuels_waste addtl eff,y,y,n,n,n,n
REFINGAS,AUTOHEAT,Industrial,,Liquid fuels,oil ef ratio,N,oil addtl eff,y,y,n,n,n,n
RESFUEL,AUTOHEAT,Industrial,,Liquid fuels,oil ef ratio,N,oil addtl eff,y,y,n,n,n,n
SOLARTH,AUTOHEAT,Industrial,,Renewables,wws heat ef ratio,N,wws heat addtl eff,y,y,n,n,n,n
SOLWIND,AUTOHEAT,Industrial,,Renewables,electricity ef ratio,N,electricity addtl eff,n,n,y,n,n,n
SUBCOAL,AUTOHEAT,Industrial,,Coal,coal ef ratio,N,coal addtl eff,y,y,n,n,n,n
TOTAL,AUTOHEAT,Industrial,,Total,na,N,na,y,y,n,n,n,n
TOTPRODS,AUTOHEAT,Industrial,,Liquid fuels,oil ef ratio,N,oil addtl eff,y,y,n,n,n,n
AVGAS,AVBUNK,Transportation,na,Liquid fuels,hydrogen ef ratio,N,oil addtl eff,n,y,n,y,y,n
BIODIESEL,AVBUNK,Transportation,na,Liquid fuels,hydrogen ef ratio,N,biofuels_waste addtl eff,n,y,n,y,y,n
COMRENEW,AVBUNK,Transportation,na,Liquid fuels,hydrogen ef ratio,N,biofuels_waste addtl eff,n,y,n,y,y,n
JETGAS,AVBUNK,Transportation,na,Liquid fuels,hydrogen ef ratio,N,oil addtl eff,n,y,n,y,y,n
LPG,AVBUNK,Transportation,na,Liquid fuels,hydrogen ef ratio,N,oil addtl eff,n,y,n,y,y,n
MRENEW,AVBUNK,Transportation,na,Liquid fuels,renewables ef ratio,N,renewables addtl eff,n,y,n,n,y,n
MTOTOIL,AVBUNK,Transportation,na,Liquid fuels,hydrogen ef ratio,N,oil addtl eff,n,y,n,y,y,n
NONBIODIES,AVBUNK,Transportation,na,Liquid fuels,hydrogen ef ratio,N,oil addtl eff,n,y,n,y,y,n
NONBIOGASO,AVBUNK,Transportation,na,Liquid fuels,hydrogen ef ratio,N,oil addtl eff,n,y,n,y,y,n
NONBIOJETK,AVBUNK,Transportation,na,Liquid fuels,hydrogen ef ratio,N,oil addtl eff,n,y,n,y,y,n
ONONSPEC,AVBUNK,Transportation,na,Liquid fuels,na,N,na,n,y,n,n,y,n
OTHKERO,AVBUNK,Transportation,na,Liquid fuels,hydrogen ef ratio,N,oil addtl eff,n,y,n,y,y,n
TOTAL,AVBUNK,Transportation,na,Liquid fuels,hydrogen ef ratio,N,oil addtl eff,n,y,n,y,y,n
TOTPRODS,AVBUNK,Transportation,na,Liquid fuels,hydrogen ef ratio,N,oil addtl eff,n,y,n,y,y,n
ANTCOAL,CHEMICAL,Industrial,,Coal,coal ef ratio,N,coal addtl eff,y,y,n,n,n,n
AVGAS,CHEMICAL,Industrial,,Liquid fuels,oil ef ratio,N,oil addtl eff,y,y,n,n,n,n
BIODIESEL,CHEMICAL,Industrial,,Liquid fuels,biofuels_waste ef ratio,N,biofuels_waste addtl eff,y,y,n,n,n,n
BIOGASES,CHEMICAL,Industrial,,Liquid fuels,biofuels_waste ef ratio,N,biofuels_waste addtl eff,y,y,n,n,n,n
BIOGASOL,CHEMICAL,Industrial,,Liquid fuels,biofuels_waste ef ratio,N,biofuels_waste addtl eff,y,y,n,n,n,n
BITCOAL,CHEMICAL,Industrial,,Coal,coal ef ratio,N,coal addtl eff,y,y,n,n,n,n
BITUMEN,CHEMICAL,Industrial,,Coal,na,N,na,y,y,n,n,n,n
BKB,CHEMICAL,Industrial,,Coal,coal ef ratio,N,coal addtl eff,y,y,n,n,n,n
BLFURGS,CHEMICAL,Industrial,,Coal,natural gas ef ratio,N,natural gas addtl eff,y,y,n,n,n,n
CHARCOAL,CHEMICAL,Industrial,,Renewables,renewables ef ratio,N,renewables addtl eff,y,y,n,n,n,n
COAL,CHEMICAL,Industrial,,Coal,coal ef ratio,N,coal addtl eff,y,y,n,n,n,n
