iso,Subvector,Metric,Model,Scenario,Region,Country,Unit,Value 1,Duration 1 (Years),Value 2,Duration 2 (Years),Value 3,Duration 3 (Years)
ZWE,Coastal Restoration,Avg mitigation potential flux,PD22,Pathway,SSA-L,Zimbabwe,tCO2e/ha/yr,0.0000,100,NA,NA,NA,NA
GHA,Agroforestry,Max extent,PD22,Pathway,SSA-L,Ghana,Mha,9.0231,100,NA,NA,NA,NA
AFG,Cropland Soil Health,Avg mitigation potential flux,PD22,Pathway,PAK,Afghanistan,tCO2e/ha/yr,0.3081,30,0.0000,70,NA,NA
BGD,Agroforestry,Max extent,PD22,Pathway,OAS-L,Bangladesh,Mha,8.9995,100,NA,NA,NA,NA
ALB,Cropland Soil Health,Avg mitigation potential flux,PD22,Pathway,EEU,Albania,tCO2e/ha/yr,1.1644,30,0.0000,70,NA,NA
MMR,Optimal Intensity,Max extent,PD22,Pathway,OAS-L,Myanmar,Mha,8.8723,100,NA,NA,NA,NA
DZA,Cropland Soil Health,Avg mitigation potential flux,PD22,Pathway,NAF,Algeria,tCO2e/ha/yr,0.2378,30,0.0000,70,NA,NA
IRQ,Cropland Soil Health,Max extent,PD22,Pathway,MEA-M,Iraq,Mha,8.6020,100,NA,NA,NA,NA
AGO,Cropland Soil Health,Avg mitigation potential flux,PD22,Pathway,SSA-M,Angola,tCO2e/ha/yr,0.4209,30,0.0000,70,NA,NA
AGO,Optimal Intensity,Max extent,PD22,Pathway,SSA-M,Angola,Mha,8.6001,100,NA,NA,NA,NA
ARG,Cropland Soil Health,Avg mitigation potential flux,PD22,Pathway,LAM-M,Argentina,tCO2e/ha/yr,0.3916,30,0.0000,70,NA,NA
MAR,Cropland Soil Health,Max extent,PD22,Pathway,NAF,Morocco,Mha,8.3476,100,NA,NA,NA,NA
ARM,Cropland Soil Health,Avg mitigation potential flux,PD22,Pathway,CAS,Armenia,tCO2e/ha/yr,0.4021,30,0.0000,70,NA,NA
TUR,Optimal Intensity,Max extent,PD22,Pathway,TUR,Turkey,Mha,8.3149,100,NA,NA,NA,NA
AUS,Cropland Soil Health,Avg mitigation potential flux,PD22,Pathway,ANUZ,Australia,tCO2e/ha/yr,0.1995,30,0.0000,70,NA,NA
BLR,Cropland Soil Health,Max extent,PD22,Pathway,EEU-FSU,Belarus,Mha,8.3027,100,NA,NA,NA,NA
AUT,Cropland Soil Health,Avg mitigation potential flux,PD22,Pathway,EU15,Austria,tCO2e/ha/yr,0.8662,30,0.0000,70,NA,NA
UZB,Cropland Soil Health,Max extent,PD22,Pathway,CAS,Uzbekistan,Mha,8.2353,100,NA,NA,NA,NA
AZE,Cropland Soil Health,Avg mitigation potential flux,PD22,Pathway,CAS,Azerbaijan,tCO2e/ha/yr,0.2646,30,0.0000,70,NA,NA
MAR,Optimal Intensity,Max extent,PD22,Pathway,NAF,Morocco,Mha,8.2135,100,NA,NA,NA,NA
BHS,Cropland Soil Health,Avg mitigation potential flux,PD22,Pathway,LAM-M,Bahamas,tCO2e/ha/yr,1.4114,30,0.0000,70,NA,NA
TUR,Natural Regeneration,Max extent,PD22,Pathway,TUR,Turkey,Mha,8.1144,100,NA,NA,NA,NA
BGD,Cropland Soil Health,Avg mitigation potential flux,PD22,Pathway,OAS-L,Bangladesh,tCO2e/ha/yr,2.0355,30,0.0000,70,NA,NA
DZA,Optimal Intensity,Max extent,PD22,Pathway,NAF,Algeria,Mha,7.9922,100,NA,NA,NA,NA
BLR,Cropland Soil Health,Avg mitigation potential flux,PD22,Pathway,EEU-FSU,Belarus,tCO2e/ha/yr,0.8512,30,0.0000,70,NA,NA
COD,Optimal Intensity,Max extent,PD22,Pathway,SSA-L,Democratic Republic of the Congo (DRC),Mha,7.8988,100,NA,NA,NA,NA
BEL,Cropland Soil Health,Avg mitigation potential flux,PD22,Pathway,EU15,Belgium,tCO2e/ha/yr,2.0368,30,0.0000,70,NA,NA
VNM,Biochar,Max extent,PD22,Pathway,OAS-CPA,Vietnam,Mha,7.8680,100,NA,NA,NA,NA
BLZ,Cropland Soil Health,Avg mitigation potential flux,PD22,Pathway,LAM-L,Belize,tCO2e/ha/yr,1.3737,30,0.0000,70,NA,NA
NER,Cropland Soil Health,Max extent,PD22,Pathway,SSA-L,Niger,Mha,7.8175,100,NA,NA,NA,NA
BEN,Cropland Soil Health,Avg mitigation potential flux,PD22,Pathway,SSA-L,Benin,tCO2e/ha/yr,0.6559,30,0.0000,70,NA,NA
GBR,Optimal Intensity,Max extent,PD22,Pathway,EU15,United Kingdom,Mha,7.8112,100,NA,NA,NA,NA
BTN,Cropland Soil Health,Avg mitigation potential flux,PD22,Pathway,OAS-M,Bhutan,tCO2e/ha/yr,2.1670,30,0.0000,70,NA,NA
IRN,Biochar,Max extent,PD22,Pathway,MEA-M,Iran,Mha,7.7925,100,NA,NA,NA,NA
BOL,Cropland Soil Health,Avg mitigation potential flux,PD22,Pathway,LAM-M,Bolivia,tCO2e/ha/yr,0.8938,30,0.0000,70,NA,NA
ZMB,Optimal Intensity,Max extent,PD22,Pathway,SSA-L,Zambia,Mha,7.7612,100,NA,NA,NA,NA
BIH,Cropland Soil Health,Avg mitigation potential flux,PD22,Pathway,EEU,Bosnia and Herzegovina,tCO2e/ha/yr,1.4726,30,0.0000,70,NA,NA
