product_short,flow_short,sector,EIA Product,WWS EF Product,WWS Upstream Product,WWS Addtl Efficiency,Low Temp Heat,High Temp Heat,hydrogen,flexible,nonenergy
SOLARTH,AUTOELEC,Electric Power,Total,electricity ef ratio,N,electricity addtl eff,N,N,N,N,N
SUBCOAL,AUTOELEC,Electric Power,Total,electricity ef ratio,N,electricity addtl eff,N,N,N,N,N
TIDE,AUTOELEC,Electric Power,Total,electricity ef ratio,N,electricity addtl eff,N,N,N,N,N
ANTCOAL,AUTOHEAT,Industrial,Coal,coal ef ratio,N,coal addtl eff,N,N,N,N,N
BIOGASES,AUTOHEAT,Industrial,Natural gas,natural gas ef ratio,N,natural gas addtl eff,N,N,N,N,N
BITCOAL,AUTOHEAT,Industrial,Coal,coal ef ratio,N,coal addtl eff,N,N,N,N,N
BKB,AUTOHEAT,Industrial,Coal,coal ef ratio,N,coal addtl eff,N,N,N,N,N
BLFURGS,AUTOHEAT,Industrial,Natural gas,natural gas ef ratio,N,natural gas addtl eff,N,N,N,N,N
COKCOAL,AUTOHEAT,Industrial,Coal,coal ef ratio,N,coal addtl eff,N,N,N,N,N
COKEOVGS,AUTOHEAT,Industrial,Natural gas,natural gas ef ratio,N,natural gas addtl eff,N,N,N,N,N
CRUDEOIL,AUTOHEAT,Industrial,Liquid fuels,oil ef ratio,N,oil addtl eff,N,N,N,N,N
GASWKSGS,AUTOHEAT,Industrial,Natural gas,natural gas ef ratio,N,natural gas addtl eff,N,N,N,N,N
GEOTHERM,AUTOHEAT,Industrial,Renewables,wws heat ef ratio,N,wws heat addtl eff,N,N,N,N,N
HEAT,AUTOHEAT,Industrial,Total,heat ef ratio,N,heat addtl eff,Y,N,N,N,N
HEATNS,AUTOHEAT,Industrial,Total,heat ef ratio,N,heat addtl eff,Y,N,N,N,N
INDWASTE,AUTOHEAT,Industrial,Total,biofuels_waste ef ratio,N,biofuels_waste addtl eff,N,N,N,N,N
LIGNITE,AUTOHEAT,Industrial,Coal,coal ef ratio,N,coal addtl eff,N,N,N,N,N
LPG,AUTOHEAT,Industrial,Liquid fuels,oil ef ratio,N,oil addtl eff,N,N,N,N,N
MUNWASTEN,AUTOHEAT,Industrial,Total,biofuels_waste ef ratio,N,biofuels_waste addtl eff,N,N,N,N,N
MUNWASTER,AUTOHEAT,Industrial,Renewables,biofuels_waste ef ratio,N,biofuels_waste addtl eff,N,N,N,N,N
NATGAS,AUTOHEAT,Industrial,Natural gas,natural gas ef ratio,N,natural gas addtl eff,N,N,N,N,N
NONBIODIES,AUTOHEAT,Industrial,Liquid fuels,oil ef ratio,N,oil addtl eff,N,N,N,N,N
OBIOLIQ,AUTOHEAT,Industrial,Liquid fuels,biofuels_waste ef ratio,N,biofuels_waste addtl eff,N,N,N,N,N
OGASES,AUTOHEAT,Industrial,Natural gas,natural gas ef ratio,N,natural gas addtl eff,N,N,N,N,N
OILSHALE,AUTOHEAT,Industrial,Liquid fuels,oil ef ratio,N,oil addtl eff,N,N,N,N,N
ONONSPEC,AUTOHEAT,Industrial,Liquid fuels,oil ef ratio,N,oil addtl eff,N,N,N,N,N
OTHER,AUTOHEAT,Industrial,Liquid fuels,oil ef ratio,N,oil addtl eff,N,N,N,N,N
OTHKERO,AUTOHEAT,Industrial,Liquid fuels,oil ef ratio,N,oil addtl eff,N,N,N,N,N
OVENCOKE,AUTOHEAT,Industrial,Coal,coal ef ratio,N,coal addtl eff,N,N,N,N,N
PATFUEL,AUTOHEAT,Industrial,Coal,coal ef ratio,N,coal addtl eff,N,N,N,N,N
PEAT,AUTOHEAT,Industrial,Coal,coal ef ratio,N,coal addtl eff,N,N,N,N,N
PEATPROD,AUTOHEAT,Industrial,Coal,coal ef ratio,N,coal addtl eff,N,N,N,N,N
PETCOKE,AUTOHEAT,Industrial,Coal,coal ef ratio,N,coal addtl eff,N,N,N,N,N
PRIMSBIO,AUTOHEAT,Industrial,Renewables,biofuels_waste ef ratio,N,biofuels_waste addtl eff,N,N,N,N,N
REFINGAS,AUTOHEAT,Industrial,Natural gas,natural gas ef ratio,N,natural gas addtl eff,N,N,N,N,N
RESFUEL,AUTOHEAT,Industrial,Liquid fuels,oil ef ratio,N,oil addtl eff,N,N,N,N,N
SOLARTH,AUTOHEAT,Industrial,Renewables,wws heat ef ratio,N,wws heat addtl eff,N,N,N,N,N
SUBCOAL,AUTOHEAT,Industrial,Coal,coal ef ratio,N,coal addtl eff,N,N,N,N,N
LHEAT,AUTOHEAT,Industrial,Total,heat ef ratio,N,heat addtl eff,Y,N,N,N,N
HHEAT,AUTOHEAT,Industrial,Total,heat ef ratio,N,heat addtl eff,Y,N,N,N,N
LHEATNS,AUTOHEAT,Industrial,Total,heat ef ratio,N,heat addtl eff,Y,N,N,N,N
HHEATNS,AUTOHEAT,Industrial,Total,heat ef ratio,N,heat addtl eff,Y,N,N,N,N
AVGAS,AVBUNK,Transportation,Liquid fuels,oil ef ratio,N,oil addtl eff,N,N,N,N,N
BIODIESEL,AVBUNK,Transportation,Liquid fuels,biofuels_waste ef ratio,N,biofuels_waste addtl eff,N,N,N,N,N
JETGAS,AVBUNK,Transportation,Liquid fuels,oil ef ratio,N,oil addtl eff,N,N,N,N,N
LPG,AVBUNK,Transportation,Liquid fuels,oil ef ratio,N,oil addtl eff,N,N,N,N,N
NONBIODIES,AVBUNK,Transportation,Liquid fuels,oil ef ratio,N,oil addtl eff,N,N,N,N,N
NONBIOGASO,AVBUNK,Transportation,Liquid fuels,oil ef ratio,N,oil addtl eff,N,N,N,N,N
NONBIOJETK,AVBUNK,Transportation,Liquid fuels,oil ef ratio,N,oil addtl eff,N,N,N,N,N
ONONSPEC,AVBUNK,Transportation,Liquid fuels,oil ef ratio,N,oil addtl eff,N,N,N,N,N
