Country,Sector,Gas,Unit,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
Namibia,Forests & Wetlands,CO2,MtCO₂e,7.97,7.97,7.99,7.95,7.98,8,7.98,7.93,7.99,7.98,7.97,7.92,7.9,7.94,7.9,7.92,7.91,9.05,8.63,8.68,8.46,8.53,7.79,7.79,7.79,7.79,7.79,7.79
Laos,Forests & Wetlands,CH4,MtCO₂e,7.51,7.51,4.82,4.45,5.85,4.27,1.66,10.18,3.04,1.48,10.23,1.94,4.74,10.67,2.53,2.27,0.55,1.36,2.03,2.92,1.32,1.76,4.76,4.76,4.76,4.76,4.76,4.76
Guatemala,Forests & Wetlands,CO2,MtCO₂e,7.48,7.48,7.48,7.48,7.48,7.48,7.48,15.91,15.91,15.91,15.91,15.91,15.18,15.18,15.18,15.18,15.18,15.25,15.25,15.25,15.25,15.25,15.25,15.25,15.25,15.25,15.25,15.25
Mexico,Forests & Wetlands,CO2,MtCO₂e,7.33,7.33,7.33,7.33,7.33,7.33,7.33,11,11,11,11,11,17.6,17.6,17.6,17.6,17.6,17.23,17.23,17.23,17.23,17.23,17.23,17.23,17.23,17.23,17.23,17.23
Colombia,Forests & Wetlands,CH4,MtCO₂e,7.24,7.24,1.58,2.25,0.68,0.59,0.5,0.34,0.37,0.65,2.2,0.43,0.29,3.24,2.44,0.25,0.43,0.56,0.28,0.46,0.44,0.17,1.47,1.47,1.47,1.47,1.47,1.47
Côte d'Ivoire,Forests & Wetlands,CO2,MtCO₂e,6.66,6.66,6.74,6.7,6.72,6.69,6.64,6.65,6.7,6.75,6.75,6.74,-8.02,-8.06,-7.92,-8.06,-8.07,-4.76,-4.76,-4.74,-4.78,-4.78,-4.73,-4.73,-4.73,-4.73,-4.73,-4.73
Togo,Forests & Wetlands,CO2,MtCO₂e,6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.46,6.46,6.46,6.46,6.46,6.57,6.57,6.57,6.57,6.57,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66
Finland,Forests & Wetlands,CO2,MtCO₂e,6.55,6.55,6.54,6.55,6.52,6.5,6.53,-19.38,-19.41,-19.44,-19.49,-19.44,-15.3,-15.33,-15.38,-15.54,-15.58,-24.37,-24.37,-24.37,-24.37,-24.34,-24.38,-24.38,-24.38,-24.38,-24.38,-24.38
Mali,Forests & Wetlands,CO2,MtCO₂e,6.54,6.54,6.54,6.54,6.54,6.54,6.54,6.53,6.53,6.53,6.53,6.53,6.53,6.53,6.53,6.53,6.53,6.54,6.54,6.54,6.54,6.54,6.54,6.54,6.54,6.54,6.54,6.54
Nepal,Forests & Wetlands,CO2,MtCO₂e,6.54,6.54,3.13,4.4,3.96,4.3,3.34,3.77,4.54,3.73,3.06,3.13,29.62,29.12,29.81,28.76,29.1,33.41,33.67,33.35,33.26,33.29,33.93,33.93,33.93,33.93,33.93,33.93
Brazil,Forests & Wetlands,N2O,MtCO₂e,6.47,6.47,8.42,3.77,1.74,4.58,2.32,9.06,2.41,3.21,9.14,4.17,9.27,7.72,7.49,7.92,3.06,0.77,5.2,6.8,3.84,3.14,5.67,5.67,5.67,5.67,5.67,5.67
Timor-Leste,Forests & Wetlands,CO2,MtCO₂e,6.1,6.1,6.1,6.1,6.1,6.1,6.1,7.43,7.43,7.43,7.43,7.43,6.74,6.74,6.74,6.74,6.74,3.57,3.57,3.57,3.57,3.57,3.57,3.57,3.57,3.57,3.57,3.57
Nepal,Forests & Wetlands,CH4,MtCO₂e,5.95,5.95,0.32,2.36,2.15,2.2,1.08,2.04,1.98,1.33,0.5,0.76,1.62,1.33,1.7,0.15,0.74,0.41,0.56,0.38,0.23,0.32,1.64,1.64,1.64,1.64,1.64,1.64
Sierra Leone,Forests & Wetlands,CO2,MtCO₂e,5.68,5.68,5.68,5.68,5.68,5.68,5.68,5.69,5.69,5.69,5.69,5.69,5.7,5.7,5.7,5.7,5.7,5.69,5.69,5.69,5.69,5.69,5.69,5.69,5.69,5.69,5.69,5.69
India,Forests & Wetlands,CH4,MtCO₂e,5.62,5.62,4.23,6.08,6.54,10.99,6.1,10.55,11.38,3.65,5.65,3.77,3.41,6.09,3.53,0.82,1.47,1.29,2.26,1.09,1.07,1.25,5.62,5.62,5.62,5.62,5.62,5.62
Democratic Republic of the Congo,Forests & Wetlands,N2O,MtCO₂e,5.39,5.39,4.06,4.02,5.02,4.16,4.17,3.58,3.86,3.64,3.88,3.13,4.32,3.93,3.28,2.37,2.64,6.28,7.1,8.66,8.42,6.7,3.84,3.84,3.84,3.84,3.84,3.84
Cambodia,Forests & Wetlands,CH4,MtCO₂e,5.37,5.37,3.74,2.52,3.74,1.9,2.5,1.82,1.54,1.88,2.22,1.82,2.79,2.82,1.63,1.2,0.59,2.09,2.5,3.74,1.2,0.36,2.38,2.38,2.38,2.38,2.38,2.38
Equatorial Guinea,Forests & Wetlands,CO2,MtCO₂e,5.35,5.35,5.35,5.35,5.35,5.35,5.35,5.43,5.43,5.43,5.43,5.43,5.35,5.35,5.35,5.35,5.35,5.32,5.32,5.32,5.32,5.32,5.32,5.32,5.32,5.32,5.32,5.32
Argentina,Forests & Wetlands,CH4,MtCO₂e,4.95,4.95,3.13,3.54,6.37,9.39,6.43,5.97,10.54,10.29,8.14,10.03,8.65,14.12,10.93,8.84,6.07,3.09,5.17,4.35,4.13,3.84,7.96,7.96,7.96,7.96,7.96,7.96
Ethiopia,Forests & Wetlands,CH4,MtCO₂e,4.59,4.59,3.34,3.25,5.85,5.23,3.15,3.22,3.25,3.8,2.2,4.54,2.85,4.85,4.96,5.75,4.01,3.41,4.89,4.16,3.45,2.6,4.05,4.05,4.05,4.05,4.05,4.05
Thailand,Forests & Wetlands,CH4,MtCO₂e,4.58,4.58,2.8,3.58,1.66,2.61,0.72,2.54,2.61,1.95,4.33,1.54,3.03,5.74,1.21,1.58,0.89,1.02,1.7,2.98,1.21,1.24,2.59,2.59,2.59,2.59,2.59,2.59
Japan,Forests & Wetlands,CO2,MtCO₂e,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-8.2,-16.4,-24.6,-32.8,-41,-41.22,-41.17,-41.13,-41.16,-41.15,-76.31,-76.31,-76.31,-76.31,-76.3,-76.3,-76.3,-76.3,-76.3,-76.3,-76.3
Senegal,Forests & Wetlands,CO2,MtCO₂e,4.4,4.4,4.4,4.4,4.4,4.4,4.4,5.87,5.87,5.87,5.87,5.87,6.6,6.6,6.6,6.6,6.6,6.97,6.97,6.97,6.97,6.97,6.97,6.97,6.97,6.97,6.97,6.97
Guyana,Forests & Wetlands,CH4,MtCO₂e,4.18,4.18,6.35,3.61,1.66,2.21,1.12,4.97,2.06,1.56,1.01,1.17,3.03,0.78,8.34,1.36,0.99,0.18,0.23,1.48,0.53,0.57,2.78,2.78,2.78,2.78,2.78,2.78
Malawi,Forests & Wetlands,CO2,MtCO₂e,4.07,4.07,4.24,4.22,4.19,4.16,4.17,6.71,6.61,6.41,6.44,6.29,7.21,7.13,7.33,7.28,8.15,7.23,6.78,6.97,6.96,6.96,6.51,6.51,6.51,6.51,6.51,6.51
Paraguay,Forests & Wetlands,CH4,MtCO₂e,4.07,4.07,3.65,3.55,5.6,3.59,3.29,2.73,2.48,2.4,4.36,3.17,3.74,3.04,3.79,5.64,3.31,0.61,3.18,1.24,1.48,1.12,3.65,3.65,3.65,3.65,3.65,3.65
South Sudan,Forests & Wetlands,N2O,MtCO₂e,4.04,4.04,3.92,2.24,4.4,6.91,7.92,6.46,9.51,5.68,5.4,5.59,5.37,7,4.48,7.97,5.39,7.57,9.16,8.87,7.17,5.33,5.77,5.77,5.77,5.77,5.77,5.77
United States,Forests & Wetlands,N2O,MtCO₂e,3.76,3.76,6.29,4.93,4.52,6.1,6.47,4.15,4.76,4.47,9.87,5.19,4.52,5.5,4.44,5.18,3.05,2.83,3.41,2.63,1.84,2.89,5.2,5.2,5.2,5.2,5.2,5.2
Myanmar,Forests & Wetlands,N2O,MtCO₂e,3.49,3.49,5.07,5.33,4.37,4.81,2.66,6.76,5.76,2.99,7.92,4.36,4.66,8.2,3.24,1.5,2.24,1.94,3.26,3.16,2.15,2.34,4.59,4.59,4.59,4.59,4.59,4.59
Canada,Forests & Wetlands,N2O,MtCO₂e,3.41,3.41,10.05,5.65,8.27,5.32,4.88,6.02,1.45,3,3.32,5.14,2.85,2.95,4.54,5.98,0.55,1.37,3.03,7.16,1.61,3.12,4.59,4.59,4.59,4.59,4.59,4.59
Burundi,Forests & Wetlands,CO2,MtCO₂e,3.33,3.33,2.85,2.87,3.14,2.94,3.13,-0.28,-0.17,-0.34,-0.8,-0.4,5.44,5.96,6.61,6.42,5.65,8.76,8.61,8.8,8.62,8.51,8.97,8.97,8.97,8.97,8.97,8.97
Suriname,Forests & Wetlands,CO2,MtCO₂e,3.33,3.33,4.63,3.68,3.7,3.42,3.41,3.32,4.14,3.63,2.82,3.33,3.05,5.02,6.1,3.75,2.57,2.53,2.65,3.27,2.92,2.79,3.6,3.6,3.6,3.6,3.6,3.6
Cameroon,Forests & Wetlands,CH4,MtCO₂e,3.19,3.19,2.88,1.84,3.95,1.42,2.02,2,2.24,3.2,2.02,1.27,3.32,2.14,2.7,0.88,1.14,1.98,2.38,3.16,1.45,1.49,2.27,2.27,2.27,2.27,2.27,2.27
